,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Vacuole,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Cell_wall,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Vacuole,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Cell_wall,Kd,int_stoich,fb_pred,Kd_pred,Kd_pred_RF,fb_pred_RF
6890,YLR336C,YMR072W,23.089759662999995,138.92501605600032,0.4660856120691821,0.0,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,4.455,5.0,5.0,1.315,0.0,0.98,0.944,0.849,1.011,0.948,-5.589173806795326,-1.4361311741535163,-1.843532,-5.7045226,-5.646767473864475,-1.4459107939275768
6891,YLR336C,YJL069C,23.089759662999995,38.016455636099934,0.9558717896760192,996.0,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,5.0,2.405,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,-5.9908851497007305,-1.0475302785500873,-0.6443411,-7.0664225,-6.265969861233209,-0.8546005899332586
6892,YLR336C,YDR299W,23.089759662999995,42.967462775400016,0.9660495927066364,724.0,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,5.0,2.423,0.634,0.0,0.803,0.637,0.608,0.0,0.0,0.575,-5.577438947080168,-1.4043132483712055,-1.0973424,-6.4664917,-5.760449986774201,-1.3117282100309062
6893,YLR336C,YCR057C,23.089759662999995,72.64477310359999,0.9693202843362024,728.0,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,5.0,5.0,1.159,0.0,0.0,0.64,0.222,0.333,0.998,0.0,-7.458919778282127,-0.321015380036329,-1.0872138,-6.348709,-6.789287299690452,-0.758155230018859
6894,YLR336C,YLL041C,23.089759662999995,14.464103199399975,0.2852236253092266,0.0,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,1.894,5.0,5.0,0.897,0.548,1.421,0.799,1.229,0.931,0.756,-5.090819968776369,-1.85052968212218,-1.398682,-6.0055213,-5.172596075502531,-1.747572326478513
6895,YER157W,YLR336C,16.28048951139997,23.089759662999995,0.3386631511813822,0.0,2.539,4.528,1.378,1.515,4.491,1.351,1.459,0.0,1.2,0.912,5.0,2.303,0.788,0.0,0.0,0.0,0.0,0.0,0.752,0.589,-6.285204860971319,-0.8508213940273797,-1.5160463,-5.8347416,-6.185698874031821,-0.9496168179604768
6896,YOR181W,YLR337C,13.923084467800004,13.713869414899976,0.8831094388255372,999.0,2.947,5.0,1.115,1.13,1.288,2.402,1.71,0.66,5.0,1.542,2.973,5.0,1.22,1.118,1.142,2.04,1.594,0.77,5.0,1.54,-7.2653628144875295,-0.3256904773394535,-1.5569856,-6.045928,-6.308756221209779,-1.0736316999072286
6897,YLR337C,YIR006C,13.713869414899976,101.69797880899986,0.8743204471825291,859.0,2.973,5.0,1.22,1.118,1.142,2.04,1.594,0.77,5.0,1.54,5.0,5.0,1.161,1.12,1.364,5.0,1.78,0.76,5.0,1.454,-4.848687088349109,-2.064023834853866,-1.7819316,-5.297474,-5.15905990390836,-1.9143982999387688
6898,YLR337C,YDR155C,13.713869414899976,2398.6072066400006,0.3302954416764234,0.0,2.973,5.0,1.22,1.118,1.142,2.04,1.594,0.77,5.0,1.54,5.0,5.0,5.0,1.284,1.307,1.466,1.291,1.25,1.436,1.711,-3.505066277312982,-3.397689414127845,-2.4839735,-4.296181,-3.72312990076589,-3.24434060507374
6899,YLR337C,YNR035C,13.713869414899976,77.74229562209993,0.4073242183971041,582.0,2.973,5.0,1.22,1.118,1.142,2.04,1.594,0.77,5.0,1.54,4.053,5.0,0.87,0.523,0.0,1.07,1.201,0.0,5.0,0.59,-5.111770626125397,-1.8199049170248096,-1.7091036,-5.560136,-5.357641436397224,-1.5819804258435963
