,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Endosome,Cmin_Lysosome,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Extracellular_region,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Endosome,Cmax_Lysosome,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Extracellular_region,Kd,int_stoich,fb_pred,Kd_pred,corum,Kd_pred_RF,fb_pred_RF
12469,RAB11B,RAB1A,52.34861699999999,120.23796139999972,0.3160454390082006,785.0,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,2.966,4.883,3.046,4.502,4.572,2.217,4.054,2.426,1.405,2.153,4.375,-3.57985814775074,-2.120552551836813,-1.9898849,-3.7679784,0.0,-3.5851632888736344,-2.182846110076955
12470,RTN4,RAB11B,110.98150890000004,52.34861699999999,0.3017838313294331,306.0,5.0,5.0,1.992,5.0,1.806,5.0,1.806,1.716,1.115,2.282,2.113,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,-4.285515540602868,-2.0448895392228814,-2.6680708,-3.0525587,0.0,-3.8385703985586974,-2.2794096663319063
12471,RAB11B,YWHAE,52.34861699999999,1397.5557550000055,0.2828256560383876,444.00000000000006,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,5.0,5.0,3.893,4.384,1.668,2.048,1.741,1.701,1.491,2.438,4.4,-3.8070457281761176,-1.922558705438052,-2.5697787,-3.9703574,0.0,-3.937175380928185,-2.25301032896756
12472,RAB11B,RAB7A,52.34861699999999,129.07965030000008,0.1795486680606496,819.0,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,2.634,5.0,5.0,2.162,3.435,4.46,5.0,5.0,1.502,2.198,4.409,-2.6346307425398545,-3.059786414956245,-1.506547,-3.8431747,0.0,-3.192770593831863,-2.7814915541032788
12473,DYNLL2,RAB11B,31.309933330000035,52.34861699999999,0.1395889587023287,243.00000000000003,4.464,4.714,1.085,0.646,0.956,4.367,1.127,0.89,0.0,5.0,1.271,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,-4.0239805853502215,-2.349789292891672,-3.06593,-3.6895874,0.0,-4.178876967147917,-2.348919015988593
12474,SEC61B,RAB11B,383.1315732999995,52.34861699999999,0.4037561161031838,270.0,2.124,5.0,2.828,5.0,1.723,2.0,1.653,1.741,1.317,1.441,1.464,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,-3.815202821989175,-2.046379245307244,-2.3957949,-3.0625389,0.0,-3.7482787989449777,-2.1078762308249583
12475,RAB11FIP1,YWHAG,14.183356629999988,121.98233330000005,0.268768113025479,371.0,1.606,5.0,1.028,1.171,1.664,2.03,3.914,1.66,0.0,1.754,1.485,5.0,5.0,5.0,1.785,1.486,1.957,1.433,1.641,0.849,3.044,4.369,-5.722942296393509,-1.680046021874111,-2.9977355,-4.3780913,0.0,-5.318498363651869,-2.1561511746907307
12476,RAB11FIP1,RAB11B,14.183356629999988,52.34861699999999,0.0567478304926936,990.0,1.606,5.0,1.028,1.171,1.664,2.03,3.914,1.66,0.0,1.754,1.485,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,-4.3087140793044645,-2.710599191282791,-1.4520782,-5.3853726,0.0,-4.876065572073103,-2.376845781017491
12477,RAB11FIP1,YWHAB,14.183356629999988,171.4434139999997,0.09876926818769,314.0,1.606,5.0,1.028,1.171,1.664,2.03,3.914,1.66,0.0,1.754,1.485,5.0,5.0,1.996,1.826,1.497,1.976,1.463,1.592,1.147,2.17,4.355,-5.145621698526797,-2.04426536145597,-3.3777037,-3.8806238,0.0,-4.977766521094743,-2.6126478689190016
12478,RAB11FIP2,YWHAQ,12.433478330000037,344.40634130000046,0.3964983733612687,265.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,5.0,5.0,2.372,1.9,1.703,2.309,1.865,2.033,1.411,2.806,4.481,-2.345568154381225,-5.275672253517943,-4.1109443,-3.618029,0.0,-2.967984361868886,-4.640543350590252
